Museum Name,City,Region,Continent,Address,Coordinates,Year of Establishment,Notable Items,Audio-Visuals,Webpage,Wiki-page,Contact,Remarks,Port
Ballina Naval & Maritime Museum ,Ballina,Australia,Oceania,"Regatta Ave, Ballina NSW 2478, Australia","-28.872476576602864, 153.566092583072",1979,,,https://ballinamaritimemuseum.org/,https://en.wikipedia.org/wiki/Ballina_Naval_and_Maritime_Museum,info@ballinamaritimemuseum.org,,
Gladstone Maritime Museum,Gladstone,Australia,Oceania,"60 Flinders Parade, Gladstone Central QLD 4680, Australia","-23.832716409878447, 151.25429226816294",1988,Navy boat,,http://gladstonemaritimemuseum.org.au/,,http://gladstonemaritimemuseum.org.au/contact-us/,,
Jervis Bay Maritime Museum,Huskisson,Australia,Oceania,"Woollamia Rd, Huskisson NSW 2540, Australia","-35.032849771455176, 150.668195391536",1988,historic c1911 Lady Denman Ferry,https://youtu.be/j9LMlgIHd_w,https://www.jervisbaymaritimemuseum.asn.au/,,enquiries@jbmm.asn.au,,
Australian National Maritime Museum,Sydney,Australia,Oceania,"2 Murray St, Sydney NSW 2000, Australia","-33.86923641899832, 151.19866498426225",1991,,https://www.youtube.com/channel/UCsYyx10-hRLipjic7ikE13g,https://www.sea.museum/,https://en.wikipedia.org/wiki/Australian_National_Maritime_Museum,info@sea.museum,,
Maritime Museum of Tasmania,Hobart,Australia,Oceania,"16 Argyle St, Hobart TAS 7000, Australia","-42.88201624253203, 147.33378186719997",1974,,https://youtu.be/Z3WJpxAot3A,http://www.maritimetas.org/,https://en.wikipedia.org/wiki/Maritime_Museum_of_Tasmania,admin@maritimetas.org,,
Maritime Museum of Townsville,Townsville,Australia,Oceania,"42/68 Palmer St, South Townsville QLD 4810, Australia","-19.258530355665908, 146.82672095820794",1986,,https://www.youtube.com/channel/UCxKo4wFLB9bII6N3pABL4jA,https://www.tmml.org.au/,,info@tmml.org.au,,
HMAS Castlemaine,Melbourne,Australia,Oceania,"Gem Pier, Syme St, Williamstown VIC 3016, Australia","-37.860554931561545, 144.90658622222398",1973,Museum ship,https://youtu.be/WT2aDvMsZF8,https://hmascastlemaine.org.au/,https://en.wikipedia.org/wiki/HMAS_Castlemaine,hmascastlemaine@dodo.com.au,,
Seaworks Maritime Museum,Melbourne,Australia,Oceania,"82 Nelson Pl, Williamstown VIC 3016, Australia","-36.28600465368674, 145.43418774721064",2011,,,https://seaworks.com.au/,,events@seaworks.com.au,,
Polly Woodside Maritime Museum,Melbourne,Australia,Oceania,"21 S Wharf Promenade, South Wharf VIC 3006, Australia","-37.82432867351596, 144.95377957458305",1968,Museum ship,https://youtu.be/QMBinhTUnFc,https://www.nationaltrust.org.au/places/polly-woodside/,https://en.wikipedia.org/wiki/Polly_Woodside,bookings@nattrust.com.au,,
Bay Steamers Maritime Museum,Melbourne,Australia,Oceania,"Shed, 2 N Wharf Rd, Docklands VIC 3008, Australia","-37.818545228424256, 144.93533127671998",1997,historic ships,,http://baysteamersmaritimemuseum.org.au/index.php,,wattle1933@gmail.com,,
Port of Echuca Discovery Centre,Echuca,Australia,Oceania,"74 Murray Esplanade, Echuca VIC 3564, Australia","-36.1192498356868, 144.74914081323197",,Port Echuca,https://www.youtube.com/user/PortofEchuca,https://www.portofechuca.org.au/discovery-centre/,,enquiries@portofechuca.org.au,,
